Particle 1 Position,Particle 2 Position,Eigenvector Squared
3.030303030303029993e-14,3.030303030303029993e-14,2.429747346255734747e-17
3.030303030303029993e-14,4.040404040404040202e-14,3.500732854504347322e-16
3.030303030303029993e-14,5.050505050505050410e-14,2.361204087195445105e-15
3.030303030303029993e-14,6.060606060606059987e-14,1.075747443523193540e-14
3.030303030303029993e-14,7.070707070707070195e-14,3.873356778455250446e-14
3.030303030303029993e-14,8.080808080808080403e-14,1.188968484716285729e-13
3.030303030303029993e-14,9.090909090909090611e-14,3.246546797851838107e-13
3.030303030303029993e-14,1.010101010101010082e-13,8.097364945839625812e-13
3.030303030303029993e-14,1.111111111111111103e-13,1.877810015669439109e-12
3.030303030303029993e-14,1.212121212121211997e-13,4.100239148394023004e-12
3.030303030303029993e-14,1.313131313131313018e-13,8.508423607358315464e-12
3.030303030303029993e-14,1.414141414141414039e-13,1.689843204271108709e-11
3.030303030303029993e-14,1.515151515151515060e-13,3.230041122491352246e-11
3.030303030303029993e-14,1.616161616161616081e-13,5.968415829410436776e-11
3.030303030303029993e-14,1.717171717171717101e-13,1.069958865547603574e-10
3.030303030303029993e-14,1.818181818181818122e-13,1.866501148519938573e-10
3.030303030303029993e-14,1.919191919191919143e-13,3.176351226925548123e-10
3.030303030303029993e-14,2.020202020202020164e-13,5.284306432558066326e-10
3.030303030303029993e-14,2.121212121212121185e-13,8.609821705908980293e-10
3.030303030303029993e-14,2.222222222222222206e-13,1.376026729750723503e-09
3.030303030303029993e-14,2.323232323232323226e-13,2.160118918556212002e-09
3.030303030303029993e-14,2.424242424242423995e-13,3.334761509641430932e-09
3.030303030303029993e-14,2.525252525252525268e-13,5.068099146351880838e-09
3.030303030303029993e-14,2.626262626262626036e-13,7.589683055475438868e-09
3.030303030303029993e-14,2.727272727272727310e-13,1.120885470675999590e-08
3.030303030303029993e-14,2.828282828282828078e-13,1.633732153387005588e-08
3.030303030303029993e-14,2.929292929292929351e-13,2.351650191809433084e-08
3.030303030303029993e-14,3.030303030303030120e-13,3.345019263212317224e-08
3.030303030303029993e-14,3.131313131313131393e-13,4.704305235929377694e-08
3.030303030303029993e-14,3.232323232323232161e-13,6.544529207731772510e-08
3.030303030303029993e-14,3.333333333333332930e-13,9.010380955133950853e-08
3.030303030303029993e-14,3.434343434343434203e-13,1.228197941787993423e-07
3.030303030303029993e-14,3.535353535353534971e-13,1.658125544761992501e-07
3.030303030303029993e-14,3.636363636363636245e-13,2.217889800517682799e-07
3.030303030303029993e-14,3.737373737373737013e-13,2.940176420391534671e-07
3.030303030303029993e-14,3.838383838383838286e-13,3.864060630623563317e-07
3.030303030303029993e-14,3.939393939393939055e-13,5.035791562689213363e-07
3.030303030303029993e-14,4.040404040404040328e-13,6.509562538167219927e-07
3.030303030303029993e-14,4.141414141414141096e-13,8.348235345660283527e-07
3.030303030303029993e-14,4.242424242424242370e-13,1.062398040168977006e-06
3.030303030303029993e-14,4.343434343434343138e-13,1.341878865300920003e-06
3.030303030303029993e-14,4.444444444444444411e-13,1.682480553786535799e-06
3.030303030303029993e-14,4.545454545454545180e-13,2.094443264935951542e-06
3.030303030303029993e-14,4.646464646464646453e-13,2.589013934427115567e-06
3.030303030303029993e-14,4.747474747474747726e-13,3.178392484942556432e-06
3.030303030303029993e-14,4.848484848484847990e-13,3.875637187803342254e-06
